Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14
;(2019-06-02;10:39:41.324635);can0;601;[8];00;00;10;1C;00;27;02;85
;(2019-06-02;10:39:41.325400);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:41.429083);can0;601;[8];00;00;10;1B;00;23;02;85
;(2019-06-02;10:39:41.429941);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:41.529431);can0;601;[8];00;00;10;1C;00;22;02;85
;(2019-06-02;10:39:41.530194);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:41.629912);can0;601;[8];00;00;10;1C;00;23;02;85
;(2019-06-02;10:39:41.630731);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:41.734192);can0;601;[8];00;00;10;1C;00;1E;02;85
;(2019-06-02;10:39:41.734940);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:41.834645);can0;601;[8];00;00;10;1C;00;24;02;85
;(2019-06-02;10:39:41.835399);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:41.939086);can0;601;[8];00;00;10;1C;00;1E;02;85
;(2019-06-02;10:39:41.939924);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:42.039425);can0;601;[8];00;00;10;1C;00;1F;02;85
;(2019-06-02;10:39:42.040178);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:42.139927);can0;601;[8];00;00;10;1B;00;1F;02;85
;(2019-06-02;10:39:42.140713);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:42.244321);can0;601;[8];00;00;10;1B;00;1E;02;85
;(2019-06-02;10:39:42.245071);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:42.344599);can0;601;[8];00;00;10;1B;00;23;02;85
;(2019-06-02;10:39:42.345349);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:42.449024);can0;601;[8];00;00;10;1B;00;20;02;85
;(2019-06-02;10:39:42.449774);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:42.549480);can0;601;[8];00;00;10;1C;00;25;02;85
;(2019-06-02;10:39:42.550241);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:42.649942);can0;601;[8];00;00;10;1C;00;23;02;85
;(2019-06-02;10:39:42.650738);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:42.754316);can0;601;[8];00;00;10;1C;00;1E;02;85
;(2019-06-02;10:39:42.755065);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:42.854684);can0;601;[8];00;00;10;1C;00;1A;02;85
;(2019-06-02;10:39:42.855435);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:42.959084);can0;601;[8];00;00;10;1C;00;22;02;85
;(2019-06-02;10:39:42.959925);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:43.059414);can0;601;[8];00;00;10;1C;00;20;02;85
;(2019-06-02;10:39:43.060172);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:43.159964);can0;601;[8];00;00;10;1C;00;1E;02;85
;(2019-06-02;10:39:43.160738);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:43.264319);can0;601;[8];00;00;10;1C;00;20;02;85
;(2019-06-02;10:39:43.265070);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:43.364686);can0;601;[8];00;00;10;1C;00;1F;02;85
;(2019-06-02;10:39:43.365438);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:43.465125);can0;601;[8];00;00;10;1C;00;1C;02;85
;(2019-06-02;10:39:43.465876);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:43.569534);can0;601;[8];00;00;10;1C;00;22;02;85
;(2019-06-02;10:39:43.570288);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:43.669931);can0;601;[8];00;00;10;1C;00;21;02;85
;(2019-06-02;10:39:43.670729);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:43.774235);can0;601;[8];00;00;10;1C;00;23;02;85
;(2019-06-02;10:39:43.774981);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:43.874698);can0;601;[8];00;00;10;1C;00;20;02;85
;(2019-06-02;10:39:43.875443);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:43.975105);can0;601;[8];00;00;10;1C;00;1C;02;85
;(2019-06-02;10:39:43.975866);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:44.079533);can0;601;[8];00;00;10;1C;00;1D;02;85
;(2019-06-02;10:39:44.080288);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:44.179939);can0;601;[8];00;00;10;1C;00;16;02;85
;(2019-06-02;10:39:44.180735);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:44.284329);can0;601;[8];00;00;10;1C;00;18;02;85
;(2019-06-02;10:39:44.285077);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:44.384663);can0;601;[8];00;00;10;1C;00;14;02;85
;(2019-06-02;10:39:44.385411);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:44.485133);can0;601;[8];00;00;10;1C;00;1E;02;85
;(2019-06-02;10:39:44.485886);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:44.589556);can0;601;[8];00;00;10;1C;00;14;02;85
;(2019-06-02;10:39:44.590391);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:44.689928);can0;601;[8];00;00;10;1C;00;18;02;85
;(2019-06-02;10:39:44.690716);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:44.794272);can0;601;[8];00;00;10;1C;00;17;02;85
;(2019-06-02;10:39:44.795050);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:44.894812);can0;601;[8];00;00;10;1C;00;1D;02;85
;(2019-06-02;10:39:44.895562);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:44.995054);can0;601;[8];00;00;10;1C;00;1E;02;85
;(2019-06-02;10:39:44.995801);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:45.099481);can0;601;[8];00;00;10;1C;00;1D;02;85
;(2019-06-02;10:39:45.100237);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:45.199966);can0;601;[8];00;00;10;1C;00;20;02;85
;(2019-06-02;10:39:45.200751);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:45.300444);can0;601;[8];00;00;10;1C;00;1E;02;85
;(2019-06-02;10:39:45.301199);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:45.404801);can0;601;[8];00;00;10;1C;00;1D;02;85
;(2019-06-02;10:39:45.405552);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:45.505147);can0;601;[8];00;00;10;1C;00;24;02;85
;(2019-06-02;10:39:45.505897);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:45.609555);can0;601;[8];00;00;10;1C;00;24;02;85
;(2019-06-02;10:39:45.610430);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:45.709926);can0;601;[8];00;00;10;1C;00;1E;02;85
;(2019-06-02;10:39:45.710708);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:45.810426);can0;601;[8];00;00;10;1C;00;18;02;85
;(2019-06-02;10:39:45.811188);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:45.914793);can0;601;[8];00;00;10;1C;00;1F;02;85
;(2019-06-02;10:39:45.915548);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:46.015157);can0;601;[8];00;00;10;1C;00;1D;02;85
;(2019-06-02;10:39:46.015908);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:46.115618);can0;601;[8];00;00;10;1C;00;20;02;85
;(2019-06-02;10:39:46.116367);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:46.220034);can0;601;[8];00;00;10;1C;00;1F;02;85
;(2019-06-02;10:39:46.220819);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:46.320392);can0;601;[8];00;00;10;1C;00;1B;02;85
;(2019-06-02;10:39:46.321189);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:46.424744);can0;601;[8];00;00;10;1C;00;19;02;85
;(2019-06-02;10:39:46.425501);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:46.525178);can0;601;[8];00;00;10;1C;00;16;02;85
;(2019-06-02;10:39:46.525927);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:46.625589);can0;601;[8];00;00;10;1C;00;15;02;85
;(2019-06-02;10:39:46.626335);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:46.730018);can0;601;[8];00;00;10;1C;00;18;02;85
;(2019-06-02;10:39:46.730770);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:46.830428);can0;601;[8];00;00;10;1C;00;1E;02;85
;(2019-06-02;10:39:46.831194);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:46.934806);can0;601;[8];00;00;10;1C;00;18;02;85
;(2019-06-02;10:39:46.935557);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:47.035135);can0;601;[8];00;00;10;1C;00;1F;02;85
;(2019-06-02;10:39:47.035890);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:47.135643);can0;601;[8];00;00;10;1C;00;20;02;85
;(2019-06-02;10:39:47.136394);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:47.240068);can0;601;[8];00;00;10;1C;00;1F;02;85
;(2019-06-02;10:39:47.240857);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:47.340428);can0;601;[8];00;00;10;1C;00;1F;02;85
;(2019-06-02;10:39:47.341210);can0;602;[8];00;00;0;00;04;D7;03;00
;(2019-06-02;10:39:47.440868);can0;601;[8];00;00;10;1C;00;1F;02;85
;(2019-06-02;10:39:47.441620);can0;602;[8];00;00;0;00;06;D7;03;00
;(2019-06-02;10:39:47.545238);can0;601;[8];00;00;10;1C;00;1E;02;88
;(2019-06-02;10:39:47.545983);can0;602;[8];00;00;0;00;09;D7;03;00
;(2019-06-02;10:39:47.645609);can0;601;[8];00;00;10;1C;00;26;02;85
;(2019-06-02;10:39:47.646356);can0;602;[8];00;00;0;00;0A;D7;01;00
;(2019-06-02;10:39:47.750029);can0;601;[8];00;00;10;1C;00;43;02;85
;(2019-06-02;10:39:47.750816);can0;602;[8];00;01;0;00;0D;D7;01;00
;(2019-06-02;10:39:47.850488);can0;601;[8];00;00;10;1C;00;8B;02;85
;(2019-06-02;10:39:47.851257);can0;602;[8];00;01;0;00;0E;D7;01;00
;(2019-06-02;10:39:47.950879);can0;601;[8];00;0B;10;1C;00;E5;02;85
;(2019-06-02;10:39:47.951631);can0;602;[8];00;01;0;00;10;D7;01;00
;(2019-06-02;10:39:48.051215);can0;601;[8];00;4D;10;1C;01;53;02;85
;(2019-06-02;10:39:48.051972);can0;602;[8];00;03;0;00;11;D7;01;00
